spec	x	y	age	loc_id
Tragoportax_gaudryi	-1.89	40.87	9.2500	a29
Tragoportax_gaudryi	1.12	41.79	9.2500	a36
Magericyon_anceps	-4.66	40.37	9.2500	a5308
Aphelops_malacorhinus	-99.21	40.64	9.3000	a1231
Borophagus_pugnator	-99.21	40.64	9.3000	a1231
Dinohippus_interpolatus	-99.21	40.64	9.3000	a1231
Epicyon_haydeni	-99.21	40.64	9.3000	a1231
Machairodus_coloradensis	-99.21	40.64	9.3000	a1231
Teleoceras_hicksi	-99.21	40.64	9.3000	a1231
Yumaceras_figginsi	-99.21	40.64	9.3000	a1231
Hippotherium_primigenium	16.25	47.80	9.3000	a3598
Hippotherium_primigenium	16.54	48.00	9.3000	a3600
Deinotherium_giganteum	15.85	46.90	9.3000	a3596
Deinotherium_giganteum	16.07	47.72	9.3000	a3597
Deinotherium_giganteum	16.25	47.80	9.3000	a3598
Deinotherium_giganteum	15.87	47.87	9.3000	a3599
Deinotherium_giganteum	16.54	48.00	9.3000	a3600
Deinotherium_giganteum	16.54	48.00	9.3000	a3601
Deinotherium_giganteum	16.60	48.02	9.3000	a3602
Deinotherium_giganteum	15.63	48.05	9.3000	a3603
Deinotherium_giganteum	14.90	48.82	9.3000	a3604
Deinotherium_giganteum	15.25	48.83	9.3000	a3605
Deinotherium_giganteum	15.10	48.83	9.3000	a3606
Deinotherium_giganteum	15.63	48.86	9.3000	a3607
Deinotherium_giganteum	15.16	48.88	9.3000	a3608
Deinotherium_giganteum	15.70	48.91	9.3000	a3609
Prodeinotherium_bavaricum	16.07	47.72	9.3000	a6745
Prodeinotherium_bavaricum	15.73	48.91	9.3000	a6746
Aphelops_mutilus	-80.42	29.98	9.3500	a1254
Borophagus_hilli	-78.96	28.17	9.3500	a1959
Calippus_hondurensis	-80.42	29.98	9.3500	a1254
Epicyon_haydeni	-79.34	28.14	9.3500	a4215
Epicyon_haydeni	-99.44	34.01	9.3500	a4216
Hemiauchenia_minima	-80.42	29.98	9.3500	a1254
Hipparion_tehonense	-78.96	28.17	9.3500	a1959
Hippotherium_ingenuum	-78.96	28.17	9.3500	a1959
Hippotherium_ingenuum	-79.34	28.14	9.3500	a4215
Hippotherium_plicatile	-78.96	28.17	9.3500	a1959
Nannippus_aztecus	-80.42	29.98	9.3500	a1254
Nannippus_lenticularis	-99.44	34.01	9.3500	a4216
Nannippus_westoni	-78.96	28.17	9.3500	a1959
Neohipparion_eurystyle	-79.34	28.14	9.3500	a4215
Yumaceras_hamiltoni	-80.42	29.98	9.3500	a1254
Aphelops_megalodus	-118.12	43.75	9.4000	a1240
Aphelops_megalodus	-118.13	43.76	9.4000	a1241
Epicyon_haydeni	-110.60	35.37	9.4000	a4217
Procamelus_grandis	-118.13	43.76	9.4000	a1241
Procamelus_grandis	-118.14	43.76	9.4000	a6720
Procamelus_grandis	-118.13	43.78	9.4000	a6721
Procamelus_grandis	-118.14	43.78	9.4000	a6722
Sthenictis_junturensis	-118.12	43.75	9.4000	a7099
Sthenictis_junturensis	-118.15	43.76	9.4000	a7100
Teleoceras_fossiger	-100.69	39.75	9.4000	a7165
Texoceros_altidens	-115.63	34.36	9.4000	a7201
Dissopsalis_carnifex	73.08	29.96	9.427	a3882
Hippotherium_mohavense	-119.21	36.55	9.4300	a4741
Borophagus_pugnator	-80.53	28.98	9.4500	a1976
Hemiauchenia_vera	-116.74	38.71	9.4500	a4595
Hippotherium_ingenuum	-80.53	28.98	9.4500	a1976
Hippotherium_plicatile	-80.53	28.98	9.4500	a1976
Nannippus_aztecus	-80.53	28.98	9.4500	a1976
Nannippus_aztecus	-79.67	27.77	9.4500	a6124
Neohipparion_eurystyle	-80.53	28.98	9.4500	a1976
Neohipparion_eurystyle	-79.67	27.77	9.4500	a6124
Pseudhipparion_skinneri	-79.67	27.77	9.4500	a6124
Teleoceras_fossiger	-105.99	34.12	9.4500	a7166
Acerorhinus_zernowi	31.98	40.97	9.4500	a89
Dinocrocuta_senyureki	31.98	40.97	9.4500	a89
Palaeotragus_coelophrys	31.98	40.97	9.4500	a89
Pseudaelurus_quadridentatus	31.98	40.97	9.4500	a89
Acerorhinus_zernowi	31.97	40.95	9.4600	a90
Ictitherium_intuberculatum	31.98	40.95	9.4600	a4996
Palaeotragus_coelophrys	31.97	40.95	9.4600	a90
Aphelops_megalodus	-100.24	42.89	9.5000	a408
Calippus_elachistus	-80.85	27.68	9.5000	a2279
Cormohipparion_occidentale	-100.24	42.89	9.5000	a408
Epicyon_saevus	-100.24	42.89	9.5000	a408
Hippotherium_ingenuum	-80.85	27.68	9.5000	a2279
Nannippus_aztecus	-80.85	27.68	9.5000	a2279
Neohipparion_eurystyle	-80.85	27.68	9.5000	a2279
Parablastomeryx_gregorii	-100.24	42.89	9.5000	a408
Plioceros_floblairi	-100.24	42.89	9.5000	a408
Pseudhipparion_skinneri	-80.85	27.68	9.5000	a2279
Pseudoceras_skinneri	-100.24	42.89	9.5000	a408
Teleoceras_major	-100.24	42.89	9.5000	a408
Dorcatherium_naui	-0.18	41.42	9.5400	a39
Listriodon_splendens	-0.18	41.42	9.5400	a39
Parachleuastochoerus_crusafonti	-0.18	41.42	9.5400	a39
Parachleuastochoerus_steinheimensis	-0.18	41.42	9.5400	a39
Propotamochoerus_palaeochoerus	-0.18	41.42	9.5400	a39
Aceratherium_incisivum	-0.18	41.42	9.5400	a39
Alicornops_simorrensis	-0.18	41.42	9.5400	a39
Dihoplus_schleiermacheri	-0.18	41.42	9.5400	a39
Lartetotherium_sansaniensis	-0.18	41.42	9.5400	a39
Mesomephitis_medius	-0.18	41.42	9.5400	a39
Trocharion_albanense	-0.18	41.42	9.5400	a39
Trochictis_narcisoi	-0.18	41.42	9.5400	a39
Micromeryx_flourensianus	-0.18	41.42	9.5400	a39
Tetralophodon_longirostris	-0.18	41.42	9.5400	a39
Machairodus_aphanistus	-0.18	41.42	9.5400	a39
Hippotherium_primigenium	-0.18	41.42	9.5400	a39
Deinotherium_giganteum	-0.18	41.42	9.5400	a39
Chalicotherium_grande	-0.18	41.42	9.5400	a39
Amphiprox_anocerus	-0.18	41.42	9.5400	a39
Miotragocerus_pannoniae	-0.18	41.42	9.5400	a39
Protragocerus_chantrei	-0.18	41.42	9.5400	a39
Amphicyon_major	-0.18	41.42	9.5400	a39
Aphelops_malacorhinus	-119.22	38.81	9.5500	a1232
Indarctos_oregonensis	-119.22	38.81	9.5500	a1232
Hippopotamodon_antiquus	49.13	40.97	9.5500	a3813
Chilotherium_habereri	92.15	47.41	9.5500	a3239
Dinocrocuta_gigantea	49.13	40.97	9.5500	a3813
Gazella_schlosseri	49.13	40.97	9.5500	a3813
Borophagus_pugnator	-79.40	27.94	9.6000	a1977
Borophagus_pugnator	-79.01	27.97	9.6000	a1978
Borophagus_pugnator	-98.20	37.51	9.6000	a1979
Borophagus_pugnator	-98.76	40.81	9.6000	a1980
Borophagus_pugnator	-99.39	41.94	9.6000	a1981
Epicyon_haydeni	-98.20	37.51	9.6000	a1979
Hipparion_tehonense	-80.63	29.28	9.6000	a4653
Hippotherium_ingenuum	-80.63	29.28	9.6000	a4653
Hippotherium_plicatile	-80.63	29.28	9.6000	a4653
Lutravus_halli	-116.15	41.51	9.6000	a5279
Nannippus_aztecus	-80.63	29.28	9.6000	a4653
Neohipparion_eurystyle	-80.63	29.28	9.6000	a4653
Neohipparion_leptode	-116.15	41.51	9.6000	a5279
Neohipparion_leptode	-101.14	42.06	9.7000	a6152
Plesiogulo_marshalli	-116.11	45.41	9.7000	a6683
Prosthennops_serus	-101.14	42.06	9.7000	a6152
Dorcatherium_naui	12.68	48.51	9.7000	a3895
Ceratotherium_neumayri	30.33	38.38	9.7000	a2946
Chilotherium_habereri	30.33	38.38	9.7000	a2946
Deinotherium_giganteum	22.64	42.27	9.7000	a3610
Deinotherium_giganteum	22.48	42.27	9.7000	a3611
Deinotherium_giganteum	22.65	42.27	9.7000	a3612
Deinotherium_giganteum	22.98	42.44	9.7000	a3613
Deinotherium_giganteum	25.39	42.92	9.7000	a3614
Deinotherium_giganteum	23.41	43.11	9.7000	a3615
Deinotherium_giganteum	-0.25	43.55	9.7000	a3616
Deinotherium_giganteum	-0.08	43.55	9.7000	a3617
Deinotherium_giganteum	0.00	43.72	9.7000	a3618
Deinotherium_giganteum	32.37	44.89	9.7000	a3619
Deinotherium_giganteum	32.20	44.91	9.7000	a3620
Deinotherium_giganteum	32.24	45.07	9.7000	a3621
Deinotherium_giganteum	3.91	45.75	9.7000	a3622
Deinotherium_giganteum	15.77	46.60	9.7000	a3623
Deinotherium_giganteum	15.60	46.67	9.7000	a3624
Deinotherium_giganteum	15.77	46.67	9.7000	a3625
Deinotherium_giganteum	15.77	46.67	9.7000	a3626
Deinotherium_giganteum	15.77	46.67	9.7000	a3627
Deinotherium_giganteum	15.77	46.67	9.7000	a3628
Deinotherium_giganteum	15.77	46.67	9.7000	a3629
Deinotherium_giganteum	14.77	46.68	9.7000	a3630
Deinotherium_giganteum	14.77	46.68	9.7000	a3631
Deinotherium_giganteum	15.27	46.68	9.7000	a3632
Deinotherium_giganteum	14.77	46.68	9.7000	a3633
Deinotherium_giganteum	15.60	46.83	9.7000	a3634
Deinotherium_giganteum	14.46	46.88	9.7000	a3635
Deinotherium_giganteum	11.83	48.64	9.7000	a3636
Deinotherium_giganteum	11.23	48.80	9.7000	a3637
Deinotherium_giganteum	14.40	49.10	9.7000	a3638
Deinotherium_giganteum	11.22	49.80	9.7000	a3639
Deinotherium_giganteum	7.03	50.10	9.7000	a3640
Deinotherium_giganteum	10.04	50.29	9.7000	a3641
Ictitherium_intuberculatum	31.98	40.95	9.7500	a4997
Ictitherium_intuberculatum	31.98	40.95	9.7500	a4998
Palaeotragus_coelophrys	31.98	40.95	9.7500	a4998
Palaeotragus_germaini	35.35	0.68	9.8000	a4755
Hippotherium_primigenium	35.35	0.68	9.8000	a4755
Calippus_martini	-97.70	36.02	9.9000	a2286
Hipparion_tehonense	-97.70	36.02	9.9000	a2286
Nannippus_aztecus	-79.96	28.08	9.9000	a6125
Pseudhipparion_skinneri	-79.96	28.08	9.9000	a6125
Dorcatherium_naui	20.40	48.34	9.9300	a40
Propotamochoerus_palaeochoerus	20.40	48.34	9.9300	a40
Aceratherium_incisivum	20.40	48.34	9.9300	a40
Lartetotherium_sansaniensis	20.40	48.34	9.9300	a40
Paralutra_jaegeri	20.40	48.34	9.9300	a40
Micromeryx_flourensianus	20.40	48.34	9.9300	a40
Simocyon_diaphorus	20.40	48.34	9.9300	a40
Tetralophodon_longirostris	20.40	48.34	9.9300	a40
Pseudaelurus_lorteti	20.40	48.34	9.9300	a40
Deinotherium_giganteum	20.40	48.34	9.9300	a40
Aphelops_mutilus	-86.53	30.92	10.0000	a1255
