"spec" "x" "y" "age" "loc_id" "optional"
"258" "Deinotherium_giganteum" 15.4 48.13 9.25 "a3595" TRUE
"259" "Deinotherium_giganteum" 1.12 41.79 9.25 "a36" TRUE
"260" "Deinotherium_giganteum" 2.45 44.64 9.25 "a37" TRUE
"261" "Deinotherium_giganteum" 29.02 47.28 9.25 "a38" TRUE
"264" "Chalicotherium_grande" 1.09 41.78 9.25 "a33" TRUE
"265" "Chalicotherium_grande" 1.09 41.78 9.25 "a35" TRUE
"266" "Chalicotherium_grande" 1.12 41.79 9.25 "a36" TRUE
"267" "Cervavitus_variabilis" 29.02 47.28 9.25 "a38" TRUE
"268" "Euprox_minimus" 1.09 41.78 9.25 "a33" TRUE
"269" "Euprox_minimus" 1.12 41.79 9.25 "a36" TRUE
"270" "Procapreolus_ukrainicus" 30.71 48.71 9.25 "a301" TRUE
"271" "Aragoral_mudejar" -1.89 40.87 9.25 "a29" TRUE
"272" "Austroportax_latifrons" 1.12 41.79 9.25 "a36" TRUE
"274" "Gazella_deperdita" 1.09 41.78 9.25 "a33" TRUE
"275" "Gazella_deperdita" 27.56 47.84 9.25 "a3594" TRUE
"276" "Gazella_gaudryi" 101.82 35.74 9.25 "a3253" TRUE
"277" "Gazella_gaudryi" 109.11 38.83 9.25 "a72" TRUE
"278" "Gazella_schlosseri" 30.71 48.71 9.25 "a301" TRUE
"279" "Gazella_schlosseri" 27.56 47.84 9.25 "a3594" TRUE
"280" "Gazella_schlosseri" 29.02 47.28 9.25 "a38" TRUE
"281" "Gazella_schlosseri" 32.66 47.24 9.25 "a4444" TRUE
"282" "Gazella_schlosseri" 27.88 47.63 9.25 "a4445" TRUE
"283" "Mesembriacerus_melentisi" 22.57 40.61 9.25 "a296" TRUE
"284" "Mesembriacerus_melentisi" 22.57 40.61 9.25 "a297" TRUE
"285" "Miotragocerus_pannoniae" 1.09 41.78 9.25 "a33" TRUE
"286" "Ouzocerus_gracilis" 22.57 40.61 9.25 "a297" TRUE
"288" "Prostrepsiceros_houtumschindleri" 29.02 47.28 9.25 "a38" TRUE
"289" "Prostrepsiceros_vallesiensis" 22.57 40.61 9.25 "a296" TRUE
"290" "Protragelaphus_skouzesi" 29.02 47.28 9.25 "a38" TRUE
"292" "Tragoportax_frolovi" 30.71 48.71 9.25 "a301" TRUE
"293" "Tragoportax_frolovi" 76.9 43.41 9.25 "a3234" TRUE
"294" "Tragoportax_gaudryi" -1.89 40.87 9.25 "a29" TRUE
"295" "Tragoportax_gaudryi" 1.12 41.79 9.25 "a36" TRUE
